Metric,avg,min,max,p99,p95,p90,p75,p50,p25,p10,p5,p1
Time To First Token (ms),137.54,136.00,138.43,138.42,138.40,138.37,138.24,137.94,136.79,136.51,136.26,136.06
Time To Second Token (ms),59.70,59.39,59.99,59.99,59.96,59.93,59.86,59.65,59.58,59.51,59.45,59.40
Request Latency (ms),"11,990.54","10,247.74","13,876.24","13,795.97","13,474.88","13,073.52","12,300.75","12,032.53","11,645.53","10,675.58","10,461.66","10,290.52"
Inter Token Latency (ms),59.58,59.47,60.03,60.00,59.91,59.80,59.67,59.48,59.47,59.47,59.47,59.47
Output Token Throughput Per User (tokens/sec/user),16.78,16.66,16.82,16.82,16.82,16.82,16.81,16.81,16.76,16.72,16.69,16.67
Output Sequence Length (tokens),199.90,171.00,231.00,229.56,223.80,216.60,205.50,200.50,194.50,178.20,174.60,171.72
Input Sequence Length (tokens),206.20,172.00,224.00,223.91,223.55,223.10,218.00,207.50,198.00,193.60,182.80,174.16

Metric,Value
Output Token Throughput (tokens/sec),16.67
Request Throughput (per sec),0.08
Request Count (count),10.00

Metric,GPU,avg,min,max,p99,p95,p90,p75,p50,p25,p10,p5,p1
GPU Power Usage (W),0,204.31,80.50,215.33,215.33,215.33,215.33,214.44,211.55,206.54,202.59,202.59,80.50
Energy Consumption (MJ),0,10.47,10.46,10.49,10.48,10.48,10.48,10.48,10.47,10.46,10.46,10.46,10.46
GPU Memory Used (GB),0,41.50,41.50,41.50,41.50,41.50,41.50,41.50,41.50,41.50,41.50,41.50,41.50
GPU Memory Free (GB),0,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17
GPU Utilization (%),0,95.64,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00
Memory Copy Utilization (%),0,80.26,0.00,85.00,85.00,85.00,85.00,85.00,84.00,83.00,83.00,83.00,0.00
Video Encoder Utilization (%),0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Video Decoder Utilization (%),0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GPU Clock Sm (MHz),0,"2,040.00","2,040.00","2,040.00","2,040.00","2,040.00","2,040.00","2,040.00","2,040.00","2,040.00","2,040.00","2,040.00","2,040.00"
GPU Clock Memory (MHz),0,"9,001.00","9,001.00","9,001.00","9,001.00","9,001.00","9,001.00","9,001.00","9,001.00","9,001.00","9,001.00","9,001.00","9,001.00"
GPU Temperature (C),0,56.51,44.00,64.00,64.00,64.00,64.00,62.00,59.00,53.25,48.00,48.00,44.00
GPU Memory Temperature (C),0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pcie Transmit Throughput (KB/s),0,"2,239.02",174.45,"2,788.00","2,788.00","2,788.00","2,788.00","2,785.72","2,783.53",896.81,896.81,174.45,174.45
Pcie Receive Throughput (KB/s),0,"6,470.99",21.67,"8,196.11","8,196.11","8,196.11","8,196.11","8,179.76","8,148.95","2,292.91","2,292.91",21.67,21.67
Pcie Replay Counter (retries),0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Metric,GPU,Value
