Metric,avg,min,max,p99,p95,p90,p75,p50,p25,p10,p5,p1
Time To First Token (ms),236.65,194.56,474.73,474.67,474.50,334.26,199.44,197.54,196.85,196.33,196.00,195.40
Time To Second Token (ms),51.77,3.55,181.20,80.73,53.70,53.66,53.53,53.32,52.97,52.54,3.81,3.59
Request Latency (ms),"11,095.74","8,465.16","13,818.40","13,610.74","12,812.62","12,554.14","11,622.46","11,088.78","10,524.35","9,932.53","9,458.91","8,692.47"
Inter Token Latency (ms),54.31,52.38,55.24,55.17,55.02,54.88,54.61,54.37,54.18,53.74,53.18,52.50
Output Token Throughput Per User (tokens/sec/user),18.41,18.10,19.09,19.05,18.81,18.61,18.46,18.39,18.31,18.22,18.17,18.12
Output Sequence Length (tokens),200.91,151.00,253.00,249.05,232.05,227.10,211.00,200.00,190.00,180.80,170.65,156.53
Input Sequence Length (tokens),202.43,150.00,249.00,242.68,230.05,224.30,218.00,206.00,191.00,176.70,171.80,161.06

Metric,Value
Output Token Throughput (tokens/sec),136.31
Request Throughput (per sec),0.68
Request Count (count),80.00

Metric,GPU,avg,min,max,p99,p95,p90,p75,p50,p25,p10,p5,p1
GPU Power Usage (W),0,242.66,220.03,252.51,252.51,252.51,252.51,247.64,245.31,241.64,220.03,220.03,220.03
Energy Consumption (MJ),0,10.51,10.49,10.53,10.53,10.52,10.52,10.52,10.51,10.50,10.50,10.50,10.49
GPU Memory Used (GB),0,41.50,41.50,41.50,41.50,41.50,41.50,41.50,41.50,41.50,41.50,41.50,41.50
GPU Memory Free (GB),0,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17
GPU Utilization (%),0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Memory Copy Utilization (%),0,97.57,84.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,84.00,84.00,84.00
Video Encoder Utilization (%),0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Video Decoder Utilization (%),0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GPU Clock Sm (MHz),0,"2,040.00","2,040.00","2,040.00","2,040.00","2,040.00","2,040.00","2,040.00","2,040.00","2,040.00","2,040.00","2,040.00","2,040.00"
GPU Clock Memory (MHz),0,"9,001.00","9,001.00","9,001.00","9,001.00","9,001.00","9,001.00","9,001.00","9,001.00","9,001.00","9,001.00","9,001.00","9,001.00"
GPU Temperature (C),0,70.85,67.00,74.00,74.00,74.00,74.00,73.00,71.00,69.00,67.00,67.00,67.00
GPU Memory Temperature (C),0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pcie Transmit Throughput (KB/s),0,"3,309.12","2,694.25","3,659.60","3,659.60","3,659.60","3,659.60","3,657.17","3,624.10","2,890.59","2,694.25","2,694.25","2,694.25"
Pcie Receive Throughput (KB/s),0,"10,327.42","7,853.67","11,730.60","11,730.60","11,730.60","11,730.60","11,703.21","11,551.27","8,704.28","7,853.67","7,853.67","7,853.67"
Pcie Replay Counter (retries),0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Metric,GPU,Value
